Target Distance:50, Step Size: 2
0: (x, y) = (-2.47829, 39.5416)
0: (x, y) = (-2.13099, 41.5112)
0: (x, y) = (-0.348982, 40.6033)
0: (x, y) = (-2.34137, 40.7776)
0: (x, y) = (-3.57269, 39.2016)
0: (x, y) = (-3.36364, 37.2125)
0: (x, y) = (-5.32689, 36.8309)
0: (x, y) = (-6.44528, 35.1728)
0: (x, y) = (-5.38544, 33.4767)
0: (x, y) = (-7.27648, 34.1279)
0: (x, y) = (-7.76032, 36.0684)
0: (x, y) = (-6.50168, 37.6227)
0: (x, y) = (-5.56274, 39.3886)
0: (x, y) = (-5.21544, 37.419)
0: (x, y) = (-6.52756, 35.9096)
0: (x, y) = (-5.1893, 34.4233)
0: (x, y) = (-3.70301, 33.085)
0: (x, y) = (-1.70423, 33.1548)
0: (x, y) = (-3.58361, 33.8389)
0: (x, y) = (-2.77014, 35.666)
0: (x, y) = (-0.943046, 34.8525)
0: (x, y) = (0.734295, 35.9418)
0: (x, y) = (0.734295, 33.9418)
0: (x, y) = (-0.497028, 32.3658)
0: (x, y) = (1.05726, 33.6244)
0: (x, y) = (1.93401, 31.8268)
0: (x, y) = (0.0021547, 32.3445)
0: (x, y) = (-1.93844, 32.8283)
0: (x, y) = (-3.16976, 31.2523)
0: (x, y) = (-1.63767, 32.5379)
0: (x, y) = (0.144342, 33.4458)
0: (x, y) = (-1.08698, 35.0219)
0: (x, y) = (-2.14682, 33.3258)
0: (x, y) = (-3.48508, 34.812)
0: (x, y) = (-3.03518, 32.8633)
0: (x, y) = (-3.97412, 34.6292)
0: (x, y) = (-4.72333, 32.7748)
0: (x, y) = (-3.009, 33.8049)
0: (x, y) = (-4.97225, 34.1865)
0: (x, y) = (-4.90246, 36.1853)
0: (x, y) = (-5.96229, 34.4892)
0: (x, y) = (-5.51239, 36.438)
0: (x, y) = (-6.51239, 38.17)
0: (x, y) = (-5.51239, 36.438)
0: (x, y) = (-3.93637, 35.2066)
0: (x, y) = (-3.31834, 33.3045)
0: (x, y) = (-1.95434, 31.8418)
0: (x, y) = (-0.0137482, 32.3257)
0: (x, y) = (1.94255, 31.9098)
0: (x, y) = (-0.0379891, 31.6315)
0: (x, y) = (-0.212301, 33.6239)
0: (x, y) = (1.71955, 34.1415)
0: (x, y) = (0.689475, 35.8558)
0: (x, y) = (0.619676, 37.8546)
0: (x, y) = (-0.794538, 36.4404)
0: (x, y) = (0.29474, 38.1178)
0: (x, y) = (0.224941, 36.119)
0: (x, y) = (-0.714002, 37.8849)
0: (x, y) = (-0.679097, 35.8852)
0: (x, y) = (0.875195, 34.6265)
0: (x, y) = (1.39283, 32.6947)
0: (x, y) = (3.01087, 33.8703)
0: (x, y) = (2.56096, 31.9215)
0: (x, y) = (3.24501, 33.8009)
0: (x, y) = (5.04259, 34.6776)
0: (x, y) = (6.6809, 33.5305)
0: (x, y) = (4.76829, 32.9457)
0: (x, y) = (3.11021, 34.0641)
0: (x, y) = (3.07531, 36.0638)
0: (x, y) = (3.00551, 38.0626)
0: (x, y) = (1.97543, 36.3483)
0: (x, y) = (2.56018, 34.4357)
0: (x, y) = (2.0089, 36.3582)
0: (x, y) = (0.226888, 35.4502)
0: (x, y) = (-1.74849, 35.1373)
0: (x, y) = (-1.23085, 37.0692)
0: (x, y) = (-1.81559, 38.9818)
0: (x, y) = (-0.426277, 37.5431)
0: (x, y) = (-2.35813, 37.0255)
0: (x, y) = (-1.26885, 35.3481)
0: (x, y) = (-1.47791, 37.3372)
0: (x, y) = (0.470833, 37.7871)
0: (x, y) = (2.46322, 37.9614)
0: (x, y) = (0.636131, 38.7749)
0: (x, y) = (1.51287, 40.5725)
0: (x, y) = (2.7442, 38.9964)
0: (x, y) = (2.6744, 36.9977)
0: (x, y) = (3.82155, 38.636)
0: (x, y) = (1.82429, 38.7406)
0: (x, y) = (2.85437, 37.0263)
0: (x, y) = (4.60361, 36.0567)
0: (x, y) = (5.75076, 37.695)
0: (x, y) = (7.61792, 36.9782)
0: (x, y) = (5.62066, 36.8736)
0: (x, y) = (4.68172, 35.1077)
0: (x, y) = (2.7592, 35.659)
0: (x, y) = (3.66718, 37.441)
0: (x, y) = (1.88516, 38.3489)
0: (x, y) = (3.68275, 39.2257)
0: (x, y) = (5.4148, 38.2257)
0: (x, y) = (3.53542, 38.9097)
0: (x, y) = (3.91703, 36.9465)
0: (x, y) = (4.19538, 38.927)
0: (x, y) = (4.50825, 36.9516)
0: (x, y) = (6.50795, 36.9865)
0: (x, y) = (4.65358, 37.7358)
0: (x, y) = (6.36791, 36.7057)
0: (x, y) = (7.9222, 35.447)
0: (x, y) = (9.76321, 36.2285)
0: (x, y) = (9.55416, 34.2395)
0: (x, y) = (8.90302, 36.1305)
0: (x, y) = (10.685, 37.0385)
0: (x, y) = (12.3624, 38.1277)
0: (x, y) = (10.508, 38.877)
0: (x, y) = (8.95372, 37.6183)
0: (x, y) = (8.40244, 39.5408)
0: (x, y) = (6.40274, 39.5059)
0: (x, y) = (4.44645, 39.0901)
0: (x, y) = (6.42699, 39.3685)
0: (x, y) = (4.44189, 39.1247)
0: (x, y) = (2.7458, 40.1846)
0: (x, y) = (4.73089, 40.4283)
0: (x, y) = (3.49957, 38.8523)
0: (x, y) = (5.05386, 40.1109)
0: (x, y) = (4.53622, 42.0428)
0: (x, y) = (2.78698, 41.0732)
0: (x, y) = (4.44506, 39.9548)
0: (x, y) = (6.15939, 38.9247)
0: (x, y) = (4.2188, 39.4085)
0: (x, y) = (5.03227, 41.2356)
0: (x, y) = (3.52285, 42.5477)
0: (x, y) = (1.57411, 42.9976)
0: (x, y) = (1.64391, 44.9964)
0: (x, y) = (0.674293, 46.7457)
0: (x, y) = (2.60614, 46.228)
0: (x, y) = (0.64985, 45.8122)
0: (x, y) = (-1.19116, 45.0307)
0: (x, y) = (-2.0679, 46.8283)
0: (x, y) = (-2.48373, 44.872)
0: (x, y) = (-0.51411, 44.5247)
0: (x, y) = (0.633043, 42.8864)
0: (x, y) = (1.47828, 44.6991)
0: (x, y) = (-0.497098, 44.3862)
0: (x, y) = (-2.30971, 45.2314)
0: (x, y) = (-1.16256, 46.8697)
0: (x, y) = (-2.16256, 48.6018)
0: (x, y) = (-2.44091, 50.5823)
After 812 steps, the subject has the following location: 
 (x, y) = (-2.44091, 50.5823) 
 or
(m, a) = (50.6412, 92.7627) 
Average outward distance per step = 0.062366
Bye!
